city,datetime,temp,humidity,pressure,wind_speed,weather_desc,hour,weekday
Jakarta,2025-05-20 18:00:00,29.79,71,1009,2.04,broken clouds,18,1
Jakarta,2025-05-20 21:00:00,30.86,76,1008,1.58,light rain,21,1
Jakarta,2025-05-21 00:00:00,31.71,81,1009,1.4,light rain,0,2
Jakarta,2025-05-21 03:00:00,33.64,68,1009,1.53,moderate rain,3,2
Jakarta,2025-05-21 06:00:00,32.3,65,1007,2.39,moderate rain,6,2
Jakarta,2025-05-21 09:00:00,29.84,70,1006,2.84,moderate rain,9,2
Jakarta,2025-05-21 12:00:00,28.04,81,1008,2.2,moderate rain,12,2
Jakarta,2025-05-21 15:00:00,27.62,81,1009,1.88,moderate rain,15,2
Jakarta,2025-05-21 18:00:00,26.65,85,1008,2.79,light rain,18,2
Jakarta,2025-05-21 21:00:00,26.21,84,1007,1.95,light rain,21,2
Jakarta,2025-05-22 00:00:00,26.89,79,1008,1.51,overcast clouds,0,3
Jakarta,2025-05-22 03:00:00,30.48,62,1009,1.19,broken clouds,3,3
Jakarta,2025-05-22 06:00:00,31.21,59,1006,3.1,light rain,6,3
Jakarta,2025-05-22 09:00:00,29.04,72,1006,4.39,moderate rain,9,3
Jakarta,2025-05-22 12:00:00,27.61,78,1008,3.97,moderate rain,12,3
Jakarta,2025-05-22 15:00:00,26.44,84,1009,2.88,light rain,15,3
Jakarta,2025-05-22 18:00:00,26.32,86,1008,2.41,moderate rain,18,3
Jakarta,2025-05-22 21:00:00,25.35,88,1007,4.04,light rain,21,3
Jakarta,2025-05-23 00:00:00,25.75,85,1008,2.59,light rain,0,4
Jakarta,2025-05-23 03:00:00,27.58,78,1008,5.07,light rain,3,4
Jakarta,2025-05-23 06:00:00,27.47,76,1006,7.53,overcast clouds,6,4
Jakarta,2025-05-23 09:00:00,28.01,71,1006,8.21,overcast clouds,9,4
Jakarta,2025-05-23 12:00:00,27.08,66,1007,6.46,overcast clouds,12,4
Jakarta,2025-05-23 15:00:00,26.6,74,1007,5.55,overcast clouds,15,4
Jakarta,2025-05-23 18:00:00,26.55,75,1006,2.09,overcast clouds,18,4
Jakarta,2025-05-23 21:00:00,26.04,78,1006,2.85,overcast clouds,21,4
Jakarta,2025-05-24 00:00:00,26.22,77,1007,1.47,overcast clouds,0,5
Jakarta,2025-05-24 03:00:00,27.55,69,1008,1.14,overcast clouds,3,5
Jakarta,2025-05-24 06:00:00,32.37,51,1006,1.09,overcast clouds,6,5
Jakarta,2025-05-24 09:00:00,33.17,49,1004,2.95,light rain,9,5
Jakarta,2025-05-24 12:00:00,30.08,68,1006,2.86,light rain,12,5
Jakarta,2025-05-24 15:00:00,28.32,74,1008,2.77,light rain,15,5
Jakarta,2025-05-24 18:00:00,27.51,78,1008,1.25,light rain,18,5
Jakarta,2025-05-24 21:00:00,26.89,78,1007,1.39,light rain,21,5
Jakarta,2025-05-25 00:00:00,26.98,74,1008,1.01,overcast clouds,0,6
Jakarta,2025-05-25 03:00:00,30.82,57,1008,1.06,broken clouds,3,6
Jakarta,2025-05-25 06:00:00,33.28,48,1006,1.86,broken clouds,6,6
Jakarta,2025-05-25 09:00:00,32.75,52,1005,3.13,light rain,9,6
Jakarta,2025-05-25 12:00:00,30.3,68,1007,2.45,light rain,12,6
Jakarta,2025-05-25 15:00:00,28.77,75,1008,1.92,broken clouds,15,6
Bogor,2025-05-20 18:00:00,28.98,78,1009,0.82,broken clouds,18,1
Bogor,2025-05-20 21:00:00,29.46,87,1009,1.57,broken clouds,21,1
Bogor,2025-05-21 00:00:00,29.92,88,1010,1.18,light rain,0,2
Bogor,2025-05-21 03:00:00,32.33,74,1010,1.58,light rain,3,2
Bogor,2025-05-21 06:00:00,31.37,78,1008,1.81,moderate rain,6,2
